"","X","time","value"
"1",1,1960,0.71
"2",2,1960.25,0.63
"3",3,1960.5,0.85
"4",4,1960.75,0.44
"5",5,1961,0.61
"6",6,1961.25,0.69
"7",7,1961.5,0.92
"8",8,1961.75,0.55
"9",9,1962,0.72
"10",10,1962.25,0.77
"11",11,1962.5,0.92
"12",12,1962.75,0.6
"13",13,1963,0.83
"14",14,1963.25,0.8
"15",15,1963.5,1
"16",16,1963.75,0.77
"17",17,1964,0.92
"18",18,1964.25,1
"19",19,1964.5,1.24
"20",20,1964.75,1
"21",21,1965,1.16
"22",22,1965.25,1.3
"23",23,1965.5,1.45
"24",24,1965.75,1.25
"25",25,1966,1.26
"26",26,1966.25,1.38
"27",27,1966.5,1.86
"28",28,1966.75,1.56
"29",29,1967,1.53
"30",30,1967.25,1.59
"31",31,1967.5,1.83
"32",32,1967.75,1.86
"33",33,1968,1.53
"34",34,1968.25,2.07
"35",35,1968.5,2.34
"36",36,1968.75,2.25
"37",37,1969,2.16
"38",38,1969.25,2.43
"39",39,1969.5,2.7
"40",40,1969.75,2.25
"41",41,1970,2.79
"42",42,1970.25,3.42
"43",43,1970.5,3.69
"44",44,1970.75,3.6
"45",45,1971,3.6
"46",46,1971.25,4.32
"47",47,1971.5,4.32
"48",48,1971.75,4.05
"49",49,1972,4.86
"50",50,1972.25,5.04
"51",51,1972.5,5.04
"52",52,1972.75,4.41
"53",53,1973,5.58
"54",54,1973.25,5.85
"55",55,1973.5,6.57
"56",56,1973.75,5.31
"57",57,1974,6.03
"58",58,1974.25,6.39
"59",59,1974.5,6.93
"60",60,1974.75,5.85
"61",61,1975,6.93
"62",62,1975.25,7.74
"63",63,1975.5,7.83
"64",64,1975.75,6.12
"65",65,1976,7.74
"66",66,1976.25,8.91
"67",67,1976.5,8.28
"68",68,1976.75,6.84
"69",69,1977,9.54
"70",70,1977.25,10.26
"71",71,1977.5,9.54
"72",72,1977.75,8.73
"73",73,1978,11.88
"74",74,1978.25,12.06
"75",75,1978.5,12.15
"76",76,1978.75,8.91
"77",77,1979,14.04
"78",78,1979.25,12.96
"79",79,1979.5,14.85
"80",80,1979.75,9.99
"81",81,1980,16.2
"82",82,1980.25,14.67
"83",83,1980.5,16.02
"84",84,1980.75,11.61
